 ,Name,Year,Races,WatersideA,WatersideB,WatersideC,WatersideD,DWSenior,DWJunior,DWEndeavour,DWVetJunior,DWSingles
1990 - Dunn A & Finch S,Dunn A & Finch S,1990,3,0,0,4,6.47,25.37,0,0,0,0
1990 - Dunn S,Dunn S,1990,2,2.48,3.37,0,0,0,0,0,0,0
1990 - Dunn S & Howlett M,Dunn S & Howlett M,1990,2,0,0,0,7,0,21.97,0,0,0
1990 - Eastgate J,Eastgate J,1990,5,2.37,3.3,4.1,6.58,0,0,0,0,21.6
1990 - Eaton Robert & English Lisa Hannah,Eaton Robert & English Lisa Hannah,1990,3,0,3.3,0,6.3,24.25,0,0,0,0
1990 - Edwards B & Smith R,Edwards B & Smith R,1990,1,0,0,0,0,0,28.38,0,0,0
1990 - Edwards Roger A & Pearce Mark S,Edwards Roger A & Pearce Mark S,1990,1,0,0,0,0,0,0,0,18.92,0
1990 - Edwards Roger & Pearce Mark S,Edwards Roger & Pearce Mark S,1990,4,2.05,2.75,3.57,5.68,0,0,0,0,0
1990 - Ellard S K & Middleton C R,Ellard S K & Middleton C R,1990,5,1.92,2.62,3.2,5,18.97,0,0,0,0
1990 - Elliott J,Elliott J,1990,1,1.8,0,0,0,0,0,0,0,0
1990 - Ellis A L E & Maclean A,Ellis A L E & Maclean A,1990,1,0,0,0,0,26.75,0,0,0,0
1990 - Ellis R,Ellis R,1990,2,0,0,5.3,7.97,0,0,0,0,0
1990 - Ellis R J V,Ellis R J V,1990,1,0,0,0,0,0,0,0,0,24.27
1990 - Ellis T & Jones M,Ellis T & Jones M,1990,1,0,0,0,0,37.28,0,0,0,0
1990 - Elsmore J P,Elsmore J P,1990,4,2.97,4.38,4.9,0,0,0,0,0,26.23
1990 - Emms P F N & Gearing R D,Emms P F N & Gearing R D,1990,1,0,0,0,0,72.88,0,0,0,0
1990 - English F E J & Love D E,English F E J & Love D E,1990,1,0,0,0,0,28.85,0,0,0,0
